tmkey,tlkey,office,gender,age,gender_l,office_l,age_l,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lct0,as1,as2,as3,as4,as5,as6,as7,lmx1,lmx2,lmx3,lmx4,lmx5,lmx6,lmx7,lmxt2,otenure_l,ttenure_l,tm_oten,tm_tten,otenure,ttenure,extrav1,extrav2,extrav3,extrav4,cons1,cons2,cons3,cons4,neuro1,neuro2,neuro3,neuro4,intel1,intel2,intel3,intel4,extrav,cons,neuro,intel,pla
5001,1070,10,4,5,2,10,3,4,5,5,5,5,5,5,5,4.88,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,1 ans,13 ans,408,408,34 ans,34 ans,2,3,3,3,4,5,5,5,2,3,2,3,3,4,2,4,2.75,4.75,2.5,3.25,5
5002,1070,10,4,2,2,10,3,3,4,4,4,4,3,3,2,3.38,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1 ans,13 ans,8,8,8 mois,8 mois,2,3,3,3,4,5,5,5,2,3,2,3,3,4,2,4,2.75,4.75,2.5,3.25,4
5003,1070,10,4,3,2,10,3,4,5,5,5,5,5,5,1,4.38,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,1 ans,13 ans,36,0,3 ans,1 semaines,2,3,3,3,4,5,5,5,2,3,2,3,3,4,2,4,2.75,4.75,2.5,3.25,4.5
5004,1070,10,4,3,2,10,3,5,5,5,5,5,5,5,3,4.75,5,3,5,3,3,2,3,5,5,5,5,5,5,5,5,1 ans,13 ans,4,4,4 mois,4 mois,2,3,3,3,4,5,5,5,2,3,2,3,3,4,2,4,2.75,4.75,2.5,3.25,5
5005,1070,10,4,4,2,10,3,4,5,5,5,5,5,5,3,4.63,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4.86,1 ans,13 ans,36,36,3,3,2,3,3,3,4,5,5,5,2,3,2,3,3,4,2,4,2.75,4.75,2.5,3.25,4.875
5006,1009,10,3,2,2,10,3,4,5,4,5,4,4,5,4,4.38,,,,,,,,,,,,,,,,18,environ 8,12,12,1,1,3,4,3,4,3,4,5,4,3,3,2,3,4,4,2,4,3.5,4,2.75,3.5,4.125
5007,1009,10,4,2,2,10,3,4,4,4,4,4,4,4,3,3.88,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,18,environ 8,12,12,1,1,3,4,3,4,3,4,5,4,3,3,2,3,4,4,2,4,3.5,4,2.75,3.5,5
5008,1009,10,4,2,2,10,3,5,5,5,5,5,5,5,2,4.63,,,,,,,,,,,,,,,,18,environ 8,12,12,1 an,1 an,3,4,3,4,3,4,5,4,3,3,2,3,4,4,2,4,3.5,4,2.75,3.5,5
5009,1009,10,4,2,2,10,3,5,5,5,5,5,4,5,3,4.63,,,,,,,,,,,,,,,,18,environ 8,12,12,1 an,1 an,3,4,3,4,3,4,5,4,3,3,2,3,4,4,2,4,3.5,4,2.75,3.5,5
5010,1096,10,4,4,2,10,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,30 ans,10 ans,108,18,9 ans,1 an 1/2, , , , , , , , , , , , , , , , , , , , ,5
5011,1096,10,4,1,2,10,4,5,5,5,5,5,5,5,4,4.88,4,3,5,3,4,4,4,5,5,5,5,5,5,5,5,30 ans,10 ans,36,36,3,3, , , , , , , , , , , , , , , , , , , , ,5
5012,1096,10,4,3,2,10,4,4,5,5,4,5,5,5,4,4.63,5,4,5,3,3,4,5,5,5,5,5,5,5,5,5,30 ans,10 ans,108,108,9,9, , , , , , , , , , , , , , , , , , , , ,4
5013,1096,10,4,2,2,10,4,4,4,4,4,4,4,4,3,3.88,4,3,4,4,4,4,4,5,5,5,4,5,5,5,4.86,30 ans,10 ans,60,60,5 ans,5 ans, , , , , , , , , , , , , , , , , , , , ,5
5014,1096,10,4,4,2,10,4,5,5,5,5,5,5,5,4,4.88,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,30 ans,10 ans,84,84,7,7, , , , , , , , , , , , , , , , , , , , ,5
5015,1096,10,4,4,2,10,4,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,30 ans,10 ans,348,348,29 ans,29 ans, , , , , , , , , , , , , , , , , , , , ,5
5016,1096,10,4,2,2,10,4,5,5,5,5,5,4,5,4,4.75,5,3,5,4,3,4,5,5,5,5,5,5,5,5,5,30 ans,10 ans,48,24,4 ans,2 ans, , , , , , , , , , , , , , , , , , , , ,5
5017,1096,10,4,3,2,10,4,4,4,4,4,4,4,5,4,4.13,4,4,4,3,3,3,2,4,4,5,4,4,4,5,4.29,30 ans,10 ans,216,216,18,18, , , , , , , , , , , , , , , , , , , , ,5
5018,1096,10,4,5,2,10,4,5,5,4,5,5,5,5,4,4.75,4,4,5,4,4,4,2,4,4,4,2,4,4,4,3.71,30 ans,10 ans,336,336,28 ans,28 ans, , , , , , , , , , , , , , , , , , , , ,5
5019,1096,10,3,2,2,10,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30 ans,10 ans,12,12,1,1, , , , , , , , , , , , , , , , , , , , ,5
5020,1096,10,4,3,2,10,4,4,4,5,3,4,3,4,5,4,4,2,5,4,2,4,5,5,4,5,4,5,5,5,4.71,30 ans,10 ans,252,72,21 ans,6 ans, , , , , , , , , , , , , , , , , , , , ,4.5
5021,1103,1,3,2,2,1,2,3,4,4,4,3,3,4,3,3.5,3,5,3,4,4,4,5,5,5,5,4,4,4,4,4.43,10 ann̩es,2 ans,60,4,5 ans,4 mois, , , , , , , , , , , , , , , , , , , , ,4.125
5022,1057,1,4,2,1,1,2,4,4,4,4,4,4,5,3,4,4,2,4,2,4,3,3,5,4,4,3,5,4,4,4.14,2,1,18,30,1.5,1.5, , , , , , , , , , , , , , , , , , , , ,
5023,1057,1,4,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1, , ,,, , , , , , , , , , , , , , , , , , , , ,4.5
5025,1057,1,4,4,1,1,2,5,3,4,4,4,3,2,3,3.5,4,4,5,4,5,4,4,5,4,3,3,4,3,4,3.71,2,1,84,24,7,2, , , , , , , , , , , , , , , , , , , , ,
5026,1057,1,4,,1,1,2,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1, , ,,, , , , , , , , , , , , , , , , , , , , ,5
5027,1057,1,3,2,1,1,2,4,4,4,4,4,4,4,2,3.75,5,4,3,4,4,4,4,4,3,4,2,3,3,4,3.29,2,1,120,12,10,1, , , , , , , , , , , , , , , , , , , , ,3
5029,1057,1,3,,1,1,2,,,,,,,,,,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,1, , ,,, , , , , , , , , , , , , , , , , , , , ,
5031,1057,1,3,,1,1,2,,,,,,,,,,5,3,5,4,4,4,4,4,5,4,4,5,5,5,4.57,2,1, , ,,, , , , , , , , , , , , , , , , , , , , ,5
5033,1057,1,4,3,1,1,2,4,4,4,4,4,2,4,3,3.63,5,5,4,4,4,4,2,5,5,4,5,5,5,5,4.86,2,1,36,24,3,2, , , , , , , , , , , , , , , , , , , , ,5
5034,1057,1,4,4,1,1,2,5,5,5,5,5,4,4,4,4.63,4,2,5,2,2,4,4,5,4,4,5,5,5,5,4.71,2,1,6,6,moins 1 an,moins 1 an, , , , , , , , , , , , , , , , , , , , ,4
5037,1057,1,4,2,1,1,2,3,3,4,4,3,4,3,2,3.25,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,1,84,24,7,2, , , , , , , , , , , , , , , , , , , , ,4.125
5038,1104,1,3,4,1,1,2,4,4,4,4,4,4,4,2,3.75,5,5,1,5,5,5,5,5,5,5,4,5,4,5,4.71,6,1,54,54,4 ans et demi,4 ans et demi,4,4,4,4,4,3,4,3,3,3,2,2,4,3,2,4,4,3.5,2.5,3.25,4.25
5039,1104,1,3,2,1,1,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,4,3,4,4,4,3,3.57,6,1,18,5,1 1/2,5 mois,4,4,4,4,4,3,4,3,3,3,2,2,4,3,2,4,4,3.5,2.5,3.25,4.375
5040,1104,1,4,2,1,1,2,4,4,5,5,4,4,5,2,4.13,4,4,5,4,4,4,5,5,5,5,3,5,5,5,4.71,6,1,12,12,1,1,4,4,4,4,4,3,4,3,3,3,2,2,4,3,2,4,4,3.5,2.5,3.25,5
5041,1104,1,3,1,1,1,2,5,5,5,5,5,5,5,1,4.5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,4.57,6,1,12,12,1,1,4,4,4,4,4,3,4,3,3,3,2,2,4,3,2,4,4,3.5,2.5,3.25,4.125
5042,1104,1,4,2,1,1,2,4,4,4,4,4,4,4,2,3.75,4,4,3,4,4,4,4,5,5,5,3,5,3,5,4.43,6,1,36,12,3,1,4,4,4,4,4,3,4,3,3,3,2,2,4,3,2,4,4,3.5,2.5,3.25,5
5043,1008,1,3,2,2,1,2,5,5,5,5,5,5,5,4,4.88,,,,,,,,,,,,,,,,6,1,48,48,4,4,5,5,5,5,2,3,4,2,2,4,4,2,4,5,2,4,5,2.75,3,3.75,5
